scenario,image_file,user_id,expected_verdict,actual_verdict,risk_score,correct,abuse_correct,upload_index,upload_latency,total_latency,worker_latency,clip_latency,redis_latency,db_latency,decision_latency,error,iteration,config
coordinated,attack.jpg,user_A,clean,clean,0.6283,True,True,1,0.028774099999282043,0.6663536999985809,0.4595,0.4513,0.0079,0.0,0.0,,1,full
coordinated,attack.jpg,user_B,suspicious,suspicious,0.6283,True,True,2,0.052363299999342416,0.6829953999986174,0.4574,0.4473,0.0097,0.0,0.0,,1,full
coordinated,attack.jpg,user_C,flagged,suspicious,0.6283,False,True,3,0.05828999999903317,0.6948599999996077,0.5492,0.5402,0.0086,0.0,0.0,,1,full
burst,attack.jpg,user_burst,clean,clean,0.6283,True,True,1,0.0605016000008618,0.6919770000004064,0.4804,0.4731,0.007,0.0,0.0,,1,full
burst,attack.jpg,user_burst,suspicious,suspicious,0.6283,True,True,2,0.055610800000067684,0.6802437000005739,0.5211,0.5116,0.009,0.0,0.0,,1,full
burst,attack.jpg,user_burst,flagged,flagged,0.6283,True,True,3,0.010837100000571809,0.6353946000017459,0.5182,0.5064,0.0114,0.0,0.0,,1,full
near_duplicate,attack.jpg,user_X,clean,clean,0.6283,True,True,1,0.05868750000081491,0.68836100000226,0.4702,0.461,0.0087,0.0,0.0,,1,full
near_duplicate,near_1.jpg,user_Y,suspicious,clean,0.6791,False,False,2,0.01250399999844376,0.6537270999979228,0.4615,0.4546,0.0065,0.0,0.0,,1,full
near_duplicate,attack.jpg,user_Z,suspicious,suspicious,0.6283,True,True,3,0.05111410000063188,0.6801387000014074,0.454,0.4436,0.0101,0.0,0.0,,1,full
clean_baseline,cat.jpg,user_clean_1,clean,clean,0.2443,True,True,1,0.012567400000989437,0.6460227000006853,0.4766,0.4644,0.012,0.0,0.0,,1,full
clean_baseline,mountain.jpg,user_clean_2,clean,clean,0.1774,True,True,2,0.010712200000853045,0.6548007000001235,0.4809,0.4675,0.0131,0.0,0.0,,1,full
clean_baseline,city.jpg,user_clean_3,clean,clean,0.1856,True,True,3,0.05914110000048822,0.6915111000016623,0.5226,0.5094,0.0128,0.0,0.0,,1,full
